firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
Leveranse,Firma,Lojistik ve dış ticaret,Türkiye-Rusya lojistik gümrük dış ticaret ödeme ve satın alma çözümleri,"info@leveranse.com.tr; selam@leveranse.com.tr",+90 312 394 82 00,https://www.leveranse.com.tr/iletisim,https://www.leveranse.com.tr/iletisim
Ref Logistics,Firma,Lojistik,Rusya ve Avrasya Gümrük Birliği hattında lojistik depolama ve transit ticaret,info@reflogistics.com,+90 212 698 60 71,https://reflojistik.com/,https://reflojistik.com/
Demiral Uluslararası Nakliyat,Firma,Lojistik,Türkiye-Rusya karayolu taşımacılığı ve grupaj nakliye,info@demiralnakliyat.com.tr,+90 216 394 32 22,https://demiralnakliyat.com.tr/rusya-nakliyat/,https://demiralnakliyat.com.tr/rusya-nakliyat/
Akçayır Group,Firma,Lojistik ve dış ticaret,Rusya Azerbaycan Ermenistan ve Gürcistan ofisleri; ithalat ihracat depolama ve lojistik,info@akcayirgroup.com.tr,+90 324 237 71 77,https://akcayirgroup.com.tr/Iletisim.html,https://akcayirgroup.com.tr/Iletisim.html
Logimodal Lojistik,Firma,Lojistik,Avrupa-Türk Cumhuriyetleri-Rusya hattında transit ithalat ve ihracat taşımacılığı,"info@logimodal.com.tr; pricing@logimodal.com.tr",+90 216 514 99 33,https://logimodal.com.tr/iletisim/,https://logimodal.com.tr/iletisim/
Kolağası Global Export,Firma,Lojistik,Türkiye'den Rusya ve Belarus'a düzenli RORO parsiyel FTL/LTL ve gümrükleme,"info@kolagasiglobalexport.com; sales@kolagasiglobalexport.com; partial@kolagasiglobalexport.com",+90 545 520 57 73,https://kolagasiglobalexport.com/tr/services,https://kolagasiglobalexport.com/tr/services
RusPar Lojistik,Firma,Lojistik,Türkiye-Rusya parsiyel ve komple TIR taşımacılığı; Rusya gümrükleme ve depolama,info@ruspar.com.tr,,https://www.ruspar.com.tr/index.php?route=information/contact,https://www.ruspar.com.tr/index.php?route=information/contact
Arınak Global Lojistik,Firma,Lojistik,Türkiye-Rusya kara ve deniz taşımacılığı,bilgi@arinak.com.tr,,https://www.arinak.com.tr/rusya-nakliye/,https://www.arinak.com.tr/rusya-nakliye/
Lantis Global,Firma,Dış ticaret ve lojistik,İthalat-ihracat lojistik gümrük ve dış ticaret danışmanlığı,info@lantisglobal.com,+90 533 925 80 95,https://lantisglobal.com/,https://lantisglobal.com/
NATA Group,Firma,Lojistik,Uluslararası nakliye ve transit lojistik hizmetleri,info@natagroup.com.tr,+90 324 238 41 90,https://natagroup.com.tr/,https://natagroup.com.tr/
Koyuncular Uluslararası Nakliyat,Firma,Lojistik,Rusya ve çevre ülkelere komple kara taşımacılığı,koyuncular@koyuncular.net,,https://koyuncular.net/,https://koyuncular.net/
Seyid Lojistik Kargo,Firma,Lojistik,Rusya dahil uluslararası kara hava ve deniz taşımacılığı,info@seyidlojistik.com.tr,+90 212 698 33 33,https://seyidlojistik.com.tr/,https://seyidlojistik.com.tr/
Art & Business Taşımacılık,Firma,Lojistik,Uluslararası kara hava deniz ve proje taşımacılığı; Rusya hattında operasyonlar,info@abtasimacilik.com,+90 216 519 32 92,https://abtasimacilik.com/,https://abtasimacilik.com/
YGL Global Lojistik,Firma,Lojistik,Entegre uluslararası lojistik ve dış ticaret hizmetleri,info@ygl.com.tr,+90 232 465 17 17,https://ygl.com.tr/,https://ygl.com.tr/
Russia Market Entry,Firma,Pazar giriş ve e-ticaret,Türk markaları için Rusya'da e-ticaret şirket kuruluşu lojistik ve pazar giriş danışmanlığı,hello@russiamarketentry.com,+90 532 785 24 20,https://russiamarketentry.com/iletisim,https://russiamarketentry.com/iletisim
RusTurizm,Firma,Turizm,Rusya'da Türk turistlere tur rehberlik ve seyahat hizmetleri,"info@rusturizm.org; moscow@rusturizm.org",,https://www.rusturizm.org,https://www.rusturizm.org
İstanbul Rusça,Firma,Tercüme ve danışmanlık,Rusça tercüme ticari danışmanlık fuar asistanlığı yatırım ve emlak danışmanlığı,info@istanbulrusca.com,+90 530 294 77 24,https://www.istanbulrusca.com/iletisim,https://www.istanbulrusca.com/iletisim
Yüzyıl Turizm,Firma,Vize ve turizm,Rusya turistik ticari öğrenci ve e-vize danışmanlığı,,,https://www.yuzyilturizm.com.tr/rusya-vizesi/,https://www.yuzyilturizm.com.tr/rusya-vizesi/
ROST Rus Türk Ticaret Evi,Firma ve platform,Ticari danışmanlık,Türk ve Rus KOBİ'leri arasında iş ortağı bulma pazar araştırması tedarik B2B ve ihracat desteği,info@rost.com.tr,+90 312 212 31 90,https://ros-t.com/iletisim,https://ros-t.com/iletisim
ENKA İnşaat,Firma,İnşaat ve gayrimenkul,Rusya'da uzun yıllara dayanan inşaat ve gayrimenkul projeleri; Moskova ofisi,"enka@enka.com; moscowheadoffice@enka.com; Office.EnkaTC@Enka.com",+90 212 376 10 00; +7 499 922 35 00,https://www.enka.com/tr/hakkimizda/ofislerimiz,https://www.enka.com/tr/hakkimizda/ofislerimiz
Arçelik,Firma,Beyaz eşya,Rusya operasyonları ve Beko Russia geçmişi bulunan küresel Türk şirketi,"kurumsal@arcelik.com; support@arcelik.com",+90 212 314 34 34,https://www.arcelikglobal.com/en/company/contact,https://www.arcelikglobal.com/en/company/contact
Mavi,Firma,Tekstil ve perakende,Rusya'da mağaza ve satış ağı; Rusya toptan/franchise iş ortakları,"Anastasia.Orlova@mavi.com; Ilya.sosnin@mavi.com",+7 926 825 28 22,https://ru.mavi.com/pages/partners.html,https://ru.mavi.com/pages/partners.html
Şişecam,Firma,Cam ve kimya,Rusya'da üretim ve ticari faaliyet geçmişi bulunan Türk sanayi grubu,SC_IR@sisecam.com,+90 850 206 50 50,https://www.sisecam.com/en/contact-us,https://www.sisecam.com/en/contact-us
Rönesans,Firma,İnşaat ve proje geliştirme,Rusya ve CIS bölgesinde proje ve iş geliştirme bağlantıları bulunan Türk grup,info@rsy.com.tr,+90 312 497 30 00,https://ronesans.com/iletisim,https://ronesans.com/iletisim
