firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
Biberciler İç Dış Gıda,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve kamuya açık iletişim eşleşmesi,info@biberciler.com.tr;biberciler192@hotmail.com,,,https://biberciler.com.tr,https://biberciler.com.tr
Bulduk Uluslararası Nakliyat,Firma,Gıda ve lojistik,Rusya listesi ve ihracatçı profil eşleşmesi,leyla@buldukgida.com,,,https://www.turkishexporter.com.tr,https://www.turkishexporter.com.tr
Cancumhur Tarım ve Gıda,Firma,Tarım ve taze ürünler,Rusya listesi ve kamuya açık firma kaydı eşleşmesi,cancumhurdefaultpk@isnet.com;cancumhurirsaliyepk@gmail.com;cancumhurpk@default.com,,,https://mukellef.info,https://mukellef.info
Celiller Tarım ve Gıda,Firma,Tarım ve taze ürünler,Rusya listesi ve resmi site eşleşmesi,celiller@celiller.com;info@celiller.com,,,https://celiller.com,https://celiller.com
Despak Tarım Ürünleri,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi iletişim sayfası eşleşmesi,info@despak.com.tr,,,https://www.despak.com.tr/en/contact.html,https://www.despak.com.tr/en/contact.html
Deva Gümrük Müşavirliği,Firma,Gümrük ve lojistik,Rusya listesi ve resmi site eşleşmesi,deva@devagumruk.com,+90 324 233 44 58,https://www.devagumruk.com/,https://www.devagumruk.com/
Dilbaz İhracat,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi iletişim sayfası eşleşmesi,info@dilbaz.com.tr,+90 242 338 05 39,https://www.dilbaz.com.tr/antalya-sebze-meyve-toptancisi-iletisim,https://www.dilbaz.com.tr/antalya-sebze-meyve-toptancisi-iletisim
Durdaşlar Sebze Meyve,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve firma adı adres alan adı eşleşmesi,info@durdaslar.com.tr,+90 242 887 02 46,https://durdaslar.com.tr,https://www.nakliyerehberim.com.tr/ayrinti_siralamasi/detay/11057_durdaslar-sebze-meyve-kom-tar-urun-amb-paz-ith-ihr-ins-san-ve-tic-ltdi-sti
Eflaki Tarım Organik Gıda,Firma,Taze meyve-sebze ve organik gıda,Rusya listesi ve tam unvan eşleşmesi,defaultpk@eflakitarim.com.tr;eflakitarimpk@gmail.com,,,https://mukellef.info/3250546051,https://mukellef.info/3250546051
Ege Uzman Gümrük ve Lojistik,Firma,Gümrük ve lojistik,Rusya listesi ve resmi site eşleşmesi,mevzuat@egeuzman.com.tr,+90 232 464 65 92,https://www.egeuzman.com.tr,https://www.egeuzman.com.tr/hakkimizda.asp
Ercan Aygar Narenciye,Firma,Narenciye ve taze meyve-sebze,Rusya listesi ve Aygar Narenciye eşleşmesi,aygar@aygarnarenciye.com,,,https://www.aygarnarenciye.com,https://www.ithalatihracat.biz/?pnum=3833
Farmatek Dış Ticaret,Firma,İlaç ve sağlık ürünleri,Rusya listesi ve resmi iletişim sayfası eşleşmesi,destek@farmatek.com.tr,+90 850 755 78 84,https://farmatek.com.tr/bize-ulasin,https://farmatek.com.tr/bize-ulasin
Finkum Tarım Ürünleri,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve Antalya Kumluca firma eşleşmesi,merennokta@gmail.com,+90 532 478 81 40,https://www.finkumtarim.com,https://www.firmasec.com
Genel Seracılık Enerji,Firma,Seracılık ve tarım,Rusya ihracatçı kaydı ve resmi sosyal hesap eşleşmesi,genelseracilik@gmail.com,,,https://www.genelseracilik.com,https://www.genelseracilik.com;https://www.instagram.com/genelseracilik_agrogen/
Giray Tarım Ürünleri,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve Finike firma hesabı eşleşmesi,ssahingiray@gmail.com,+90 242 865 66 80,,https://www.facebook.com/p/GIRAY-TARIM-URUNLERI-100057418090709/
Gökçe Gıda,Firma,Gıda ve tarım ürünleri,Rusya listesi ve resmi firma sitesi eşleşmesi,muhasebe@gokcegida.com.tr,,,https://www.gokcegida.com.tr/gida-antalya,https://www.gokcegida.com.tr/gida-antalya
Görkem Tarım Ürünleri,Firma,Taze meyve-sebze ve narenciye,Rusya listesi ve resmi iletişim sayfası eşleşmesi,info@gorkemtarim.com.tr;export@gorkemtarim.com.tr,+90 242 434 36 81,https://www.gorkemtarim.com.tr/tr/iletisim.html,https://www.gorkemtarim.com.tr/tr/iletisim.html
Günaydın İthalat İhracat,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi grup iletişim sayfası eşleşmesi,alasehir@guenaydin.eu,+90 236 653 99 16,https://guenaydin.net/en/kontakt.php,https://guenaydin.net/en/kontakt.php
H.K.S. Tarım Ürünleri,Firma,Tarım ve taze meyve-sebze,Rusya listesi ve Mersin OSB kaydı eşleşmesi,u_aydemir973@hotmail.com,,,https://www.mersinosb.org.tr/firmalar/?SayfaNo=12,https://www.mersinosb.org.tr/firmalar/?SayfaNo=12
Habip Oğuz İnşaat Tarım,Firma,Tarım ve lojistik,Rusya listesi ve Tarsus TSO ihracatçı listesi eşleşmesi,oguzinsaat1975@gmail.com,+90 532 624 6104,,https://www.tarsustso.org.tr/wp-content/uploads/2019/10/exportlist.pdf
Hacıbey İthalat İhracat,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve Hacıbey Group marka eşleşmesi,info@hacibeygroup.com,+90 532 314 0921,https://hacibeygroup.com/index.php/kurumsal/,https://hacibeygroup.com/index.php/kurumsal/
Haşim Balaban Otomotiv ve Tarım,Firma,Tarım ürünleri ve otomotiv,Rusya listesi ve firma adı eşleşmeli kamuya açık iletişim kaydı,hizliparcam@gmail.com,+90 532 371 9811,https://www.hizliparcam.com,https://www.hizliparcam.com
Güneşler Gıda,Firma,Narenciye ve taze ürünler,Rusya listesi ve Antalya firma kaydı alan adı eşleşmesi,gunesler@gunesler.com.tr,+90 242 338 07 07,https://www.gunesler.com.tr,https://www.isfirmarehberi.com
Hüdaverdi Gıda Tarım,Firma,Narenciye ve taze meyve-sebze,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@hudaverditarim.com,+90 252 265 27 06,https://www.hudaverditarim.com/hudaverdi-tarim-mugla-koycegiz_iletisim.asp,https://www.hudaverditarim.com/hudaverdi-tarim-mugla-koycegiz_iletisim.asp
HRT Gıda,Firma,Gıda üretimi ve tarım,Rusya listesi ve Adana OSB firma kaydı eşleşmesi,nkose@hrtfood.com,,,http://www.hrtfood.com,https://adanaorganize.org.tr
İbrahim İncedayı İhracat,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve Antalya firma kaydı eşleşmesi,incedayi_07@hotmail.com,,,https://www.find.com.tr/Company/ibrahimincedayiincedayiihracat,https://www.find.com.tr/Company/ibrahimincedayiincedayiihracat
İkizler Uluslararası Taşımacılık,Firma,Uluslararası taşımacılık ve lojistik,Rusya listesi ve firma rehberi eşleşmesi,ikizleruluslar2010@hotmail.com,+90 326 422 11 33,,https://www.nakliyerehberim.com.tr/ayrinti_siralamasi/detay/23197_ikizler-uluslar-nak-ihr-tic-ve-san-ltd-sti,https://www.nakliyerehberim.com.tr/ayrinti_siralamasi/detay/23197_ikizler-uluslar-nak-ihr-tic-ve-san-ltd-sti
İliri Dış Ticaret,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma sosyal/site eşleşmesi,iliri.07@hotmail.com,+90 324 451 24 40,https://iliri07.wixsite.com/iliri-dis-ticaret,https://iliri07.wixsite.com/iliri-dis-ticaret/contact
İlka-HY Gıda Nakliyat,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@ilka-hy.com.tr,+90 324 545 65 55,https://ilka-hy.com.tr/iletisim.html,https://ilka-hy.com.tr/iletisim.html
İlsa Dış Ticaret,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@ilsa.com.tr,+90 326 285 58 61,https://www.ilsa.com.tr/tr/iletisim.html,https://www.ilsa.com.tr/tr/iletisim.html
Kemal Kılıç Tarım ve Orman Ürünleri,Firma,Taze meyve-sebze ve orman ürünleri,Rusya listesi ve ihracatçı firma kaydı eşleşmesi,info@kilictarim.com.tr,,,http://www.kilictarim.com.tr,https://www.nakliyeilani.com/dis-ticaret-firmalar/6FDD502E-277A-4CF6-BD90-7A2CC2365C6B/kemal-kilic-tarim-ve-orman-ur-paz-ith-ihr-san-ve-tic-ltd-sti
Kerem Cem Gıda Tarım Ürünleri,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve Tarsus TSO ihracatçı listesi eşleşmesi,erden.ayaz@gmail.com,,,https://www.tarsustso.org.tr/wp-content/uploads/2020/03/exporter_list.pdf,https://www.tarsustso.org.tr/wp-content/uploads/2020/03/exporter_list.pdf
Kılıç Tarım Gıda Hafriyat,Firma,Tarım ürünleri ve taze meyve-sebze,Rusya listesi ve resmi firma sitesi eşleşmesi,info@kilictarim.com,+90 324 835 18 45,https://kilictarim.com/,https://kilictarim.com/
Kırmızıdam Gıda Organik Tarım,Firma,Organik gıda ve tarım,Rusya listesi ve resmi firma sitesi eşleşmesi,info@kirmizidam.com.tr,+90 322 332 89 19,http://www.kirmizidam.com.tr,http://www.kirmizidam.com.tr/
Kocaas Narenciye Orman Ürünleri,Firma,Narenciye ve orman ürünleri,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@kocaas.com,+90 532 563 76 80,https://www.kocaas.com,https://www.kocaas.com/tr/iletisim-2
Köseler-Sarıkaya Paketleme Tarım Ürünleri,Firma,Narenciye paketleme ve ihracat,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@koselersarikaya.com;ulus@koselersarikaya.com,+90 324 646 23 20,http://koselersarikaya.com,http://koselersarikaya.com/iletisim
Lider Gıda,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@lidergida.com.tr,+90 462 322 18 94,https://www.lidergida.com,https://www.lidergida.com/lider-gida-iletisim
Menas-Mersin Zirai Ürünler,Firma,Narenciye ve taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@menascitrus.com,+90 324 577 23 35,http://menascitrus.com,http://menascitrus.com/contact.aspx
Merlog Nakliyat Gıda,Firma,Lojistik ve gıda taşımacılığı,Rusya listesi ve resmi firma sitesi eşleşmesi,info@merlog.com.tr,+90 542 899 25 27,http://www.merlog.com.tr/,http://www.merlog.com.tr/
Merpak Tarım Üretim,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,merpak@merpaktarim.com,+90 324 327 47 78,http://www.merpaktarim.com,http://www.merpaktarim.com/merpak/bize-ulasin.html
Meypal Tarım Ürünleri,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma sitesi eşleşmesi,sazimet@meypal.co.uk,+90 324 238 04 38,https://meypal.com.tr,https://meypal.com.tr
MK Hanedan Mühendislik,Firma,Mühendislik ve teknik hizmetler,Rusya listesi ve resmi firma sitesi eşleşmesi,info@hanedanmuhendislik.com.tr,+90 312 284 57 00,http://www.hanedanmuhendislik.com.tr,http://www.hanedanmuhendislik.com.tr
Mübay Seracılık,Firma,Seracılık ve gıda üretimi,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@mubaysera.com;satis@mubaysera.com,+90 232 671 78 00,http://www.mubaysera.com,http://www.mubaysera.com/contact.html
Narco Tarım Ürünleri,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@narco.com.tr,+90 533 647 37 99,https://www.narcogroup.com,https://www.narcogroup.com/tr/iletisim
Narseb Gıda Taşımacılık,Firma,Taze meyve-sebze ve lojistik,Rusya listesi ve kamuya açık firma hesabı/alan adı eşleşmesi,info@narseb.com,+90 242 341 40 97,https://www.narseb.com,https://www.instagram.com/narsebgida/
El Deniz Paketleme Tarım Gıda,Firma,Taze meyve-sebze ve narenciye ihracatı,Rusya listesi ve resmi firma sitesi eşleşmesi,info@eldeniztarim.com;info@eldeniztarim.com.tr,+90 326 221 42 10,https://www.eldeniztarim.com.tr,https://www.eldeniztarim.com.tr
Elis Global Dış Ticaret,Firma,Dış ticaret ve ihracat,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@elisglobalas.com,+90 424 237 37 02,https://www.elisglobalas.com,https://www.elisglobalas.com/iletisim/
Elika Gıda Tarım Ürünleri,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,elika@elikaglobal.com,+90 538 030 61 10,https://www.elikaglobal.com,https://www.elikaglobal.com/iletisim
Okyanus Sebze Meyve,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,siparis@okyanussebze.com.tr,+90 242 339 57 77,http://www.okyanussebze.com.tr/tr/iletisim-bilgileri,http://www.okyanussebze.com.tr/tr/iletisim-bilgileri
Onay Taşımacılık,Firma,Uluslararası taşımacılık ve tarım ürünleri lojistiği,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@onaytasimacilik.com.tr,+90 326 285 56 85,https://www.onaytasimacilik.com,https://www.onaytasimacilik.com/?link=iletisim
