firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
Biberciler İç Dış Gıda Maddeleri Pazarlama Ticaret,Firma,Narenciye ve taze meyve-sebze ihracatı,Rusya listesi ve resmi firma sitesi eşleşmesi,info@biberciler.com.tr,+90 324 646 33 42,https://www.biberciler.com.tr,https://www.biberciler.com.tr/
Büyükkasap Tarım Ürünleri Gıda,Firma,Taze meyve-sebze paketleme ve ihracat,Rusya listesi ve resmi firma sitesi eşleşmesi,info@buyukkasap.com.tr,+90 242 337 04 36,https://buyukkasap.com.tr,https://buyukkasap.com.tr/
Bozdağ Sebze Meyve Sevkiyatçılığı Ambalaj Nakliyat Gıda Tarım Ürünleri,Firma,Taze meyve-sebze sevkiyatı ve ambalaj,Rusya listesi ve Tarsus Ticaret ve Sanayi Odası kaydı eşleşmesi,abdullahbozdag@icloud.com,+90 532 467 54 46,,https://uye.tarsustso.org.tr/bozdag-sebze-meyve-sevkiyatciligi-amblaj-nakliyat-gida-tarim-urunleri-sanayi-limited-sirketi/
Celiller Tarım ve Gıda Ürünleri,Firma,Narenciye ve taze meyve-sebze ihracatı,Rusya/Ukrayna ticaret kaydı ve resmi firma sitesi eşleşmesi,celiller@celiller.com,,https://celiller.com,https://celiller.com/
Çekok Gıda Sanayi ve Ticaret A.Ş.,Firma,Taze meyve-sebze üretimi ve ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@cekok.com.tr,+90 850 210 50 00,https://www.cekok.com.tr,https://www.cekok.com.tr/ilet-en.aspx
Cumhur İthalat İhracat Tarım ve Gıda,Firma,Tarım ürünleri ithalatı ve ihracatı,Rusya listesi ve firma rehberi eşleşmesi,cumhurtarim@hotmail.com,,https://cumhurtarim.com,https://www.isfirmarehberi.com/firma/259521/cumhur-ithalat-ihracat-tarim
Çetinkayalar Tarım Makinaları,Firma,Tarım makinaları ve ekipmanları,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@cetinkayalartarim.com; muhasebe@cetinkayalartarim.com,,https://www.cetinkayalartarim.com,https://www.cetinkayalartarim.com/tr/iletisim
Çınar Ambalaj Nakliyat Tarım Ürünleri,Firma,Taze meyve-sebze paketleme ve ihracat,Rusya/Ukrayna ticaret kaydı ve resmi firma sitesi eşleşmesi,canberk@cinarpaketleme.com.tr,+90 326 744 55 94,https://cinarpaketleme.com.tr,https://cinarpaketleme.com.tr/
Despak Tarım Ürünleri Paketleme Gıda,Firma,Taze meyve-sebze paketleme ve ihracat,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@despak.com.tr,,https://www.despak.com.tr,https://www.despak.com.tr/tr/iletisim.html
Deva Gümrük Müşavirliği,Firma,Gümrük müşavirliği ve ithalat-ihracat lojistiği,Rusya listesi ve resmi firma iletişim eşleşmesi,deva@devagumruk.com,+90 324 233 44 58,https://www.devagumruk.com,https://www.facebook.com/www.devagumruk.com.tr/
Dilbaz İhracat İthalat ve Pazarlama,Firma,Taze meyve-sebze ihracatı ve pazarlama,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@dilbaz.com.tr,+90 242 338 05 39; +90 242 338 07 05,http://www.dilbaz.com.tr,http://www.dilbaz.com.tr/antalya-sebze-meyve-toptancisi-iletisim
