firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Sepe Natural Organik Ürünler San. ve Tic. A.Ş.","Üretici/İhracatçı","Gıda takviyeleri, arı ürünleri, bitkisel ekstraktlar","Türkiye/İzmir merkezli GMP ve ISO 22000 belgeli üretici; doğal ürünler ve private label çözümleriyle uluslararası pazar odaklı","sepenatural@sepenatural.com.tr","+90 532 621 10 89; +90 533 817 15 08","http://sepenatural.com.tr","https://askturkiye.com/company/sepe-natural-organik-urunler-san-ve-tic-as; https://askturkiye.com/company/sepe-natural-organik-urunler-san-ve-tic-as?id=20364"
"Tekyatağanlı Tarım Makinaları San. ve Tic. A.Ş. / Abollo","Üretici/İhracatçı","Tarım makineleri","Türkiye merkezli tarım makineleri üreticisi; toprak işleme, ekim, hasat, yem hazırlama, gübreleme ve ilaçlama makineleri; Orta Asya tarım pazarı için uygun","satis@tekyataganli.com","+90 533 309 41 72","http://www.abollo.com.tr","https://www.askturkiye.com/company/tekyataganli-tarim-makinalari-sanve-ticas"
"Globus Tarım Ürünleri Tur. San. ve Tic. Ltd. Şti.","Üretici/İhracatçı","Yaş meyve ve sebze","Türkiye merkezli yaş meyve-sebze ihracatçısı; Ask Türkiye Turkish Fresh Fruit and Vegetables kaydı","info@globustarim.com","+90 532 794 96 34","http://www.globustarim.com","https://askturkiye.com/company/globus-tarim-urunleri-tur-san-ve-tic-ltd-sti"
"Özkaya Gıda Turz. Elt. San. Tic. Ltd. Şti. / Halis Fındık","Üretici/İhracatçı","Fındık işleme ve gıda","Türkiye/Giresun merkezli fındık işleme firması; Ask Türkiye Turkish Hazelnut and Products kaydı","halisfindik@gmail.com","","http://halisfindik.com","https://www.askturkiye.com/company/ozkaya-gida-turzeltsanticltdsti"
"Delta Web Yazılım ve Dijital Hizmetler","Hizmet/İhracat destek","Çok dilli web sitesi, Rusça web sitesi, dijital pazarlama","Türkiye firmalarının Rusya, Kazakistan, Özbekistan ve Azerbaycan pazarlarına tek Rusça web sürümüyle hitap etmesine yönelik hizmet beyanı","info@deltaweb.com.tr","+90 551 954 44 03","https://deltaweb.com.tr/","https://deltaweb.com.tr/hizmetler/cok-dilli-web-sitesi/rusca-web-sitesi/"
"Raben Türkiye","Lojistik hizmet sağlayıcı","Uluslararası lojistik ve taşımacılık","Türkiye ofisi ve Ukrayna bağlantılı lojistik ağı; Türkiye-Ukrayna bağlantısı ve Avrupa lojistik ağı","info.tr@raben-group.com; ukraine.info@raben-group.com","0090 850 37 78 726","https://turkiye.raben-group.com/","https://turkiye.raben-group.com/i%CC%87letisim"
"Kıta Logistics","Lojistik hizmet sağlayıcı","Uluslararası lojistik, hava-deniz-kara-proje taşımacılığı","Türkiye merkezli; Kazakistan, Özbekistan ve Gürcistan hizmet sayfaları ile Orta Asya/Kafkasya bağlantıları","info@kitalogistics.com","","https://www.kitalogistics.com/","https://www.kitalogistics.com/en/kazakhstan; https://www.kitalogistics.com/en/uzbekistan; https://www.kitalogistics.com/en/georgia; https://www.kitalogistics.com/en/contact/"
"Logitrans Lojistik A.Ş.","Lojistik hizmet sağlayıcı","Uluslararası lojistik, depolama, taşımacılık","Türkiye, Rusya, Kazakistan, Ukrayna, Özbekistan ve Azerbaycan ofisleri; BDT ve hedef ülke ağı","contact@logitransport.com; warehouse-kz@logitransport.com","+90 216 660 17 70; +90 544 481 07 18; +7 705 164 2662","https://www.logitransport.com/","https://beta.logitransport.com/iletisim; https://beta.logitransport.com/ofislerimiz; https://beta.logitransport.com/kazakistan-depo; https://www.logitransport.com/rusya-turk-diyalog-dernegi"
"Arkas Lojistik","Lojistik hizmet sağlayıcı","Kafkasya lojistiği, karayolu, demiryolu, proje kargo","Gürcistan ve Azerbaycan operasyonları; Poti/Tiflis üzerinden Orta Asya ve Türki Cumhuriyetler transit bağlantıları","info@arkaslojistik.com","","https://arkaslojistik.com/","https://arkaslojistik.com/ulkeler/gurcistan; https://arkaslojistik.com/en/countries/azerbaijan"
"Ares Logistics","Lojistik hizmet sağlayıcı","Uluslararası lojistik ve taşımacılık","Avrupa'yı Azerbaycan ve Gürcistan'a taşıma hizmetleri; Kafkasya hatlarında lojistik partnerlik","info@areslogistics.com.tr","","https://www.areslogistics.com.tr/","https://www.utikad.org.tr/Detay/Sektor-Haberleri/30486/ares-logistics-avrupa-yi-azerbaycan-ve-gurcistan-a-tasiyacak; https://www.areslogistics.com.tr/"
