firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Temel Conta San. ve Tic. A.Ş.","Firma","Otomotiv yan sanayi, conta ve sızdırmazlık","Turkish Industry platformunda listelenen Türk otomotiv/sanayi firması; platform Türk sanayisini Rusya pazarına tanıtma amacı taşıyor.","export@temelconta.com.tr","+90 232 483 54 09","https://turkish-industry.com/firma-iletisim/Temel-Conta-San-ve-Tic-AS/8800","https://turkish-industry.com/firma-iletisim/Temel-Conta-San-ve-Tic-AS/8800"
"Dünya Plastik PVC Granül San. Tic. Ltd. Şti.","Firma","Plastik ve PVC granül","Turkish Industry platformunda listelenen Türk plastik firması; Rusya pazarı için B2B aday.","info@dunyaplastikpvc.com","+90 212 482 44 77","https://turkish-industry.com/firma-iletisim/Dunya-Plastik-Pvc-Granul-San-Tic-Ltd-Sti/3076","https://turkish-industry.com/firma-iletisim/Dunya-Plastik-Pvc-Granul-San-Tic-Ltd-Sti/3076"
"Hayat Kimya A.Ş.","Firma","Kimya, hijyen ve hızlı tüketim","Turkish Industry platformunda listelenen Türk kimya firması; Rusya pazarına yönelik B2B görünürlük kaydı.","bingo@hayat.com.tr","+90 262 317 51 00","https://turkish-industry.com/firma-iletisim/Hayat-Kimya-AS/5147","https://turkish-industry.com/firma-iletisim/Hayat-Kimya-AS/5147"
"Es Metal San. Tic. Ltd. Şti.","Firma","Demir çelik ve metal sanayi","Turkish Industry platformunda listelenen Türk metal sanayi firması; Rusya pazarı için aday tedarikçi.","info@es-metal.com","+90 216 365 28 26","https://turkish-industry.com/firma-iletisim/Es-Metal-San-Tic-Ltd-Sti/3589","https://turkish-industry.com/firma-iletisim/Es-Metal-San-Tic-Ltd-Sti/3589"
"Federal Elektrik Yatırım ve Tic. A.Ş.","Firma","Elektrik ve elektronik sanayi","Turkish Industry platformunda listelenen Türk elektrik/elektronik firması; Rusya pazarı için B2B aday.","federal@federal.com.tr","","https://turkish-industry.com/firma-iletisim/Federal-Elektrik-Yatirim-ve-Tic-AS/510","https://turkish-industry.com/firma-iletisim/Federal-Elektrik-Yatirim-ve-Tic-AS/510"
"Oğuzhan Çelik İskele ve Mermer San. A.Ş.","Firma","Çelik iskele ve mermer","Turkish Industry platformunda listelenen Türk çelik/mermer firması; Rusya pazarı için aday.","bilgi@oguzhaniskele.com","+90 248 325 35 55","https://turkish-industry.com/firma-iletisim/Oguzhan-Celik-Iskele-ve-Mermer-San-AS/1884","https://turkish-industry.com/firma-iletisim/Oguzhan-Celik-Iskele-ve-Mermer-San-AS/1884"
"Reis Yapışkanlı Bantlar ve Ambalaj San. Tic. Ltd. Şti.","Firma","Yapışkanlı bant ve ambalaj","Turkish Industry platformunda listelenen Türk ambalaj firması; Rusya pazarı için B2B aday.","info@reisbant.com","","https://turkish-industry.com/firma-iletisim/Reis-Yapiskanli-Bantlar-ve-Ambalaj-San-Tic-Ltd-Sti/7585","https://turkish-industry.com/firma-iletisim/Reis-Yapiskanli-Bantlar-ve-Ambalaj-San-Tic-Ltd-Sti/7585"
"Taliani Tarım Gıda San. Tic. Ltd. Şti.","Firma","Tarım, gıda ve zeytinyağı","Turkish Industry platformunda listelenen Türk tarım/gıda firması; Rusya gıda pazarı için aday.","info@talianioliveoil.com","+90 312 387 13 50","https://turkish-industry.com/firma-iletisim/Taliani-Tarim-Gida-San-Tic-Ltd-Sti/4329","https://turkish-industry.com/firma-iletisim/Taliani-Tarim-Gida-San-Tic-Ltd-Sti/4329"
"Zemin Collection","Firma","Mobilya / zemin ve dekorasyon ürünleri","Turkish Industry platformunda listelenen Türk firma; Rusya pazarına yönelik B2B kaynak.","info@zemincollection.com","+90 216 466 01 80","https://turkish-industry.com/firma-iletisim/Zemin-Collection/5795","https://turkish-industry.com/firma-iletisim/Zemin-Collection/5795"
"Siemens San. ve Tic. A.Ş.","Firma","Elektronik ve endüstriyel otomasyon","Turkish Industry platformunda Türkiye kaydı bulunan elektrik/elektronik sanayi firması; Rusya pazarına yönelik B2B platformda listeleniyor.","info@siemens.com.tr","+90 216 459 20 00","https://turkish-industry.com/firma-iletisim/Siemens-San-ve-Tic-AS/2453","https://turkish-industry.com/firma-iletisim/Siemens-San-ve-Tic-AS/2453"
